"","Vin"
"1","19UUA8F22CA003926"
"2","5J6YH18314L006498"
"3","1GC1KWE85GF266427"
"4","KNDPCCAC2F7761967"
"5","1GNKRGKD2EJ157108"
"6","WBAFR1C52BC745716"
"7","4T1FA38P57U118005"
"8","5TETU62N65Z006686"
"9","1N6AD09U98C411189"
"10","3VWVT7AT7EM630324"
"11","2FMDK48C88BA69851"
"12","1GCSKPE38AZ143970"
"13","1FADP3KE2GL297598"
"14","1GKFK03289R297436"
"15","1GKFK03289R297436"
"16","4S4BRBAC9B3333460"
"17","1D7HA18N96J103321"
"18","3TMJU4GN2DM145027"
"19","YV4CZ982471354229"
"20","1HGCT1B39FA002562"
"21","JTEBT17R050047428"
"22","00000000000000"
"23","YV4BZ982081016906"
"24","1FTEX1CM7DFD84075"
"25","1G4HC5EM9BU123841"
"26","1FTPW145X4KB77884"
"27","3C6UR5KL0GG160114"
"28","5TBRV54147S471674"
"29","YV1MS382X72314458"
"30","KM8SC73D54U726423"
"31","SHSRD78855U301461"
"32","2T2BZMCA9HC089414"
"33","1C4NJPBB5GD584134"
"34","1FT7W2BTXCEA19744"
"35","1G2AL18FX87269768"
"36","SAJWA6ET1F8K17856"
"37","1FTFW1ET9EFB93772"
"38","1FADP3F21JL251168"
"39","58ABK1GG4GU012008"
"40","2FMDK3KC1DBB49649"
"41","5UXWX9C52G0D74980"
"42","WAUCFAFR5DA046850"
"43","55SWF4KB5GU100619"
"44","JTEEP21A050106133"
"45","1C3CCBBB9CN283413"
"46","1GNKRGKD2EJ157108"
"47","SALDV2241VA115053"
"48","JTHCE5C29C5002294"
"49","3N1AB7APXJY288848"
"50","1N4AL3AP9DC295781"
"51","1C3CCCAB7HN509429"
"52","2C3CCAET5DH580798"
"53","2C3CCARG4EH207444"
"54","4T1BF1FK3FU032248"
"55","5FNYF4H61DB001991"
"56","5XYKUDA62CG243654"
"57","3GYFNEEY6BS555595"
"58","5FNYF18798B014971"
"59","1GKFK16367J161876"
"60","3GCPKTE39BG208762"
"61","1GC2KXCG5BZ242222"
"62","WDCGG8HB3AF487430"
"63","1HGCP2F49CA225970"
"64","1C6RD7MT8CS252250"
"65","3C4PDDGG5GT160952"
"66","5NPE24AF9JH607092"
"67","1GKFK23099R280896"
"68","1FTFW1EF0EKE39528"
"69","1C6RR7LTXDS724761"
"70","1D7RV1CT2AS183868"
"71","1G4GB5G33EF217337"
"72","1C4PJMCSXEW230424"
"73","1FMCU0HX4DUA40398"
"74","JM3KE4CY7E0337881"
"75","1GKFK66808J226831"
"76","1GNKVGKD3DJ186191"
"77","JHMZE2H70ES001875"
"78","2GKFLTEK2H6112626"
"79","ZACCJABB2HPF21435"
"80","5NPD84LF3JH219959"
"81","1GNEK13T75R148328"
"82","W04GL6SX4J1091492"
"83","242371P141587"
"84","WMWSU3C51CT541788"
"85","JTHBN36FX55021003"
"86","1N4AA5AP9DC820128"
"87","4M2EU47E67UJ22183"
"88","4S4BRBGC7A3343894"
"89","1VWAT7A38EC030055"
"90","1J4BA6D1XBL517250"
"91","JNKAY01F98M652733"
"92","1C4HJWEG0CL122983"
"93","5NPD74LF0HH208804"
"94","2G1WX15K129130277"
"95","WAURVAFA8AN008573"
"96","1G11C5SLXEF303185"
"97","JM1NC2LF1C0225315"
"98","1G1ZB5ST6HF232268"
"99","1G11C5SA7GU122249"
"100","1FA6P0H76E5350207"
"101","5N1ED28Y73C645730"
"102","1HGCM72795A007486"
"103","2G1125S39F9100866"
"104","1GKKVRKDXDJ262708"
"105","ZAM45VMA6D0068954"
"106","1G11A5SA6GF110863"
"107","1G1YW2DW5C5101546"
"108","WAUKGAFB2BN014844"
"109","4JGCB65E08A084613"
"110","3C3CFFDR0CT213954"
"111","1J8GN28K09W512877"
"112","4T1BF1FK0HU647164"
"113","1N4AL3AP3FC187501"
"114","1G6KK5R67GU150295"
"115","5N1AR1NB3BC606061"
"116","1G1AL15FX77310049"
"117","1FTFW1ET6BFC24567"
"118","JTEDS42A682027627"
"119","1VWBN7A34EC090770"
"120","3GYVKMEF9AG209040"
"121","WA1LMAFE7CD008503"
"122","5TDBK3EH1DS177131"
"123","KMHTC6AE8GU285269"
"124","SHSRD78863U147520"
"125","JF2SJAAC1EH480919"
"126","WVWHD71K88W299827"
"127","5NPDH4AE1CH116620"
"128","1GNUKAE00AR275821"
"129","1FT8W3DT9DEA67163"
"130","3C6JR6DT7FG531290"
"131","1C4NJPBB3GD561791"
"132","KL4CJASB3GB650576"
"133","3N1AB7AP7JY325659"
"134","2GKFLXE50C6147417"
"135","1GCRCREH0EZ162893"
"136","2GNFLFEK8H6150141"
"137","3FADP4EJ5JM122878"
"138","123456789"
"139","3FA6P0LUXJR138155"
"140","1FM5K7D86DGC85496"
"141","1C4NJPBA7GD569965"
"142","1C3CDFAA0GD625632"
"143","2T1BURHE9GC555627"
"144","2C3CDXJG3GH348178"
"145","JN1FV7AR6GM450890"
"146","2GNFLEEK0H6223769"
"147","5N3AA08C25N807195"
"148","1N4AA5AP3EC485787"
"149","3GCUCRER0JG275014"
"150","5TFJX4GN5FX047288"
"151","1GCHTDE37G1224925"
"152","1HGCP2F87CA223086"
"153","1G1BG5SM2G7244499"
"154","1N4AA5AP7EC493259"
"155","JF2SH61609H791413"
"156","1HD1LC313EC434631"
"157","1G1FB3DS4K0109994"
"158","1G6AH1RX4G0172032"
"159","JN8AT2MT1HW148666"
"160","WDZPE7CC9D5767661"
"161","JC1NFAEK9H0120019"
"162","JF1ZNAA11E9706070"
"163","JM1NC2PF7C0225846"
"164","WDDNG86XX8A198991"
"165","3C6JR6DTXEG131769"
"166","1FM5K7F83FGB82052"
"167","2T3WFREV1JW413852"
"168","WVWBW7AH3CV018889"
"169","2C3CDYBT6CH130456"
"170","1G1ZB5ST7JF114929"
"171","1FTEX1C81GFB20602"
"172","1GNSKBKC2FR152105"
"173","1HGCR2F32HA193940"
"174","2C4RDGCG9JR253385"
"175","2HKYF18594H565640"
"176","KMHCT5AE0HU336212"
"177","19UUA8F20CA007052"
"178","1FMCU0GD5HUC58637"
"179","1F66F5KY2G0A08512"
"180","1R9R1BF28JC828012"
"181","1J4GW48S94C128584"
"182","2HNYD2H63AH516890"
"183","2T1CG22P2C1426004"
"184","1FM5K7D84HGE18617"
"185","3N1AB7AP5JY341035"
"186","1FMCU0F77HUA32661"
"187","1FTMF1CM6BKD18586"
"188","1G4HR54K55U273139"
"189","3GTU2NEC9HG206176"
"190","1FT7W2B6XJEB83275"
"191","1G2AS87A4BL143552"
"192","2C4RDGCG2ER179264"
"193","1GCHG39C691119594"
"194","1GAZG1FF7F1110818"
"195","KNADH4A38B6737227"
"196","3B7HC13Y11G733009"
"197","1GCCS136458110054"
"198","1N4AZ0CP1EC332298"
"199","1GC1KYEG5CF181035"
"200","2C3CDZAG3JH236368"
"201","1J8FF57W27D241022"
"202","1G6DP567950142078"
"203","2C4RDGCG7HR605440"
"204","1G6DG5EY3B0142700"
"205","5UXFG83539LZ92530"
"206","2C3CDXFG6FH748775"
"207","1HGFA16866L097692"
"208","KMHTC6AD0FU224830"
"209","WAUCVAFR8BA044185"
"210","1G1FB3DS6K0136596"
"211","WVGFK7A93AD001076"
"212","1N6AA1E5XJN509221"
"213","O"
"214","1GKFK63838J143320"
"215","2G1FK1EJ4E9202857"
"216","JTEZU14R38K019812"
"217","2HGFC4B03GH302461"
"218","1FBNE31LX9DA79723"
"219","JTHBA30G855057396"
"220","4T3ZK3BB3AU023352"
"221","1HGFA16596L137821"
"222","JNKCP11A0XT013473"
"223","1FTRF12206NB35839"
"224","2G4WE587661162279"
"225","KNDJT2A15B7736232"
"226","1GKEK13Z74J140910"
"227","1GKEK13Z24R282308"
"228","1gchtcfe0c8115573"
"229","2C3CDXKT9FH903273"
"230","JTDKN3DU7A0110666"
"231","1FDEE3FL5CDB33954"
"232","1C4PJLDBXGW307112"
"233","2GNALBEK6F6321193"
"234","2C3CDXKT1FH903251"
"235","3GTP1VEJ9FG507719"
"236","5TFRM5F18FX090782"
"237","19UUA66228A049511"
"238","2FMHK6DC3ABA29346"
"239","4T1BF12B2VU181402"
"240","1GKEC13Z74J262664"
"241","WBAKC6C52BC394299"
"242","2HGFC3A54HH752404"
"243","1FA6P8TH0F5335914"
"244","WAUCVAFR1CA002572"
"245","1FTEW1EP8HFA39914"
"246","1G1FA1RS2H0212999"
"247","1HGCS2B89CA007101"
"248","1G1FA1RX0H0180601"
"249","1GCNCPEH0EZ135809"
"250","9BWGK61J334038621"
"251","2GNFLEEK9H6162891"
"252","1G4PW5SKXG4132450"
"253","KNDPM3AC5H7113832"
"254","LRBFXCSAXHD009160"
"255","1GC1KWE89GF248531"
"256","3C6UR5DJXFG670416"
"257","1FM5K7D86DGC43104"
"258","1J4GR48K86C277840"
"259","1FM5K8D85FGB55055"
"260","1C4NJRFB3CD683647"
"261","1GTR1UEC1FZ251967"
"262","1FTEW1CP9GFA58084"
"263","1FTFX1ET2EFB10907"
"264","4T1BE32K35U505777"
"265","1FMCU0GX7EUC91791"
"266","WAUCVAFR9BA083500"
"267","WDDWJ4JB5HF410001"
"268","1FDAF57R49EA61089"
"269","JM3KFACL4H0196577"
"270","1HGCR2F57HA124906"
"271","KMHTC6AD0FU224830"
"272","2G1FE1E30E9201276"
"273","WVGTV7AX9HK041158"
"274","5NPE24AF7GH346294"
"275","3N1AB7AP5JY314014"
"276","2T1BURHE6JC080266"
"277","3N1AB7AP5JY314014"
"278","WMEEJ3BA2DK616529"
"279","5NPE24AF7GH346294"
"280","2G1155S33E9122710"
"281","1N4AL3AP5HC128291"
"282","JN1EV7AP0HM734432"
"283","1C3CCCAB7GN145771"
"284","5N1AT2MV1HC853297"
"285","KNMAT2MVXKP524621"
"286","1FADP3K24GL241233"
"287","1GCHK23244F249166"
"288","1G1BE5SM4H7111492"
"289","JTDKN3DU7B1405679"
"290","3MYDLBYV2JY312138"
"291","JM1BM1K70E1132822"
"292","3VW2B7AJ1HM387229"
"293","JN1BJ0RP4GM232080"
"294","5NPE24AF3HH466370"
"295","3GNCJPSB8GL278764"
"296","1G1RA6S55HU171758"
"297","2T1BURHE6JC080266"
"298","1GCHC29K77E529873"
"299","WAUCFAFR2FA049482"
"300","3GNMCFE03DG126916"
"301","WVGAV7AX7GW601919"
"302","1HGCT1B38EA009632"
"303","1FTMF1C83HFB49888"
"304","1FTNF1CF4EKD47420"
"305","WMEEJ31X28K112803"
"306","2HKYF18626H532975"
"307","1J4GL48K35W614932"
"308","3GTP1NECXJG423192"
"309","5TFDW5F17FX483175"
"310","1D7HU18D35S178801"
"311","1FMCU0EG8CKC23382"
"312","3D7JV1EP2AG180330"
"313","3TMLU4EN4EM157418"
"314","1FADP3F25DL308248"
"315","1FMCU0JX7GUA51202"
"316","3FA6P0HD0HR121562"
"317","2C4RDGBG4HR624819"
"318","WDBSK74F83F038568"
"319","1FTMF1C87GFA31454"
"320","JF2SJADC7FH560190"
"321","1FM5K8D81GGC51332"
"322","1FTRW07622KE39563"
"323","1FT7W2BT4JEC60244"
"324","WP1AD2AP4ALA61124"
"325","JF1VA2V62H9800842"
"326","2GCEK13Z871176308"
"327","3GTP2VE74CG145957"
"328","1GCRKREA2CZ125735"
"329","5XXGN4A71FG410896"
"330","5XXGN4A71FG410896"
"331","KNDJD736675745284"
"332","1C4PJMDB3FW749363"
"333","2HGFB2F53DH528430"
"334","2G4GS5EV4D9223269"
"335","2HGFB2F53DH528430"
"336","KMHTC6AE7FU240788"
"337","JTKKT624960167235"
"338","JN8AS5MV1BW309417"
"339","JNBAZ08T16W417128"
"340","1FTPW14V56KB72744"
"341","1GNFC23009R174367"
"342","1FT7W2BT1EEB33828"
"343","2G4WS52JX11212204"
"344","1FMHK7F85BGA69646"
"345","1ZVBP8CFXD5258096"
"346","1C6RR7PT0FS667600"
"347","KMHHU6KJ9EU113568"
"348","5TDZA22C35S386814"
"349","3GTP1VEC8FG248478"
"350","5TDBT44A52S064531"
"351","1FA6P8TH0F5324721"
"352","JN1CV6EKXCM424183"
"353","1VWAT7A35EC032202"
"354","5GNEN13E498128793"
"355","1B3CB4HA4AD619269"
